드랍테이블 ID,스테이지 레벨,골드 드랍,장비 드랍 id,장비 드랍 확률(%),픽시조각 드랍 확률(%),스킬 주문서 드랍 확률(%),스킬 잼 드랍 확률(%),입장권 드랍 확률(%),빙고 일반 링크 드랍 확률,빙고 희귀 링크 드랍 확률,빙고 영웅 링크 드랍 확률,빙고 전설 링크 드랍 확률,빙고 신화 링크 드랍 확률,당기기 아이템 A드랍 확률,빙고 아이템 B드랍 확률,시너지 (일반),시너지 (희귀),시너지 (영웅),시너지 (전설),시너지 (신화)
6510159,159,194638513984,6520159,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510160,160,223834291082,6520160,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510161,161,257409434744,6520161,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510162,162,296020849956,6520162,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510163,163,340423977449,6520163,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510164,164,391487574066,6520164,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510165,165,450210710176,6520165,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510166,166,517742316703,6520166,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510167,167,595403664208,6520167,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510168,168,684714213839,6520168,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510169,169,787421345915,6520169,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510170,170,905534547802,6520170,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510171,171,1041364729973,6520171,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510172,172,1197569439468,6520172,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510173,173,1377204855389,6520173,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510174,174,1583785583697,6520174,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510175,175,1821353421251,6520175,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510176,176,2094556434439,6520176,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510177,177,2408739899605,6520177,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510178,178,2770050884546,6520178,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510179,179,3185558517228,6520179,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510180,180,3663392294812,6520180,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510181,181,4212901139034,6520181,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510182,182,4844836309889,6520182,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510183,183,5571561756372,6520183,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510184,184,6407296019828,6520184,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510185,185,7368390422802,6520185,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510186,186,8473648986222,6520186,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510187,187,9744696334156,6520187,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510188,188,11206400784279,6520188,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510189,189,12887360901921,6520189,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510190,190,14820465037209,6520190,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510191,191,17043534792790,6520191,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510192,192,19600065011709,6520192,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510193,193,22540074763465,6520193,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510194,194,25921085977985,6520194,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510195,195,29809248874683,6520195,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510196,196,34280636205885,6520196,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510197,197,39422731636768,6520197,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510198,198,45336141382283,6520198,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510199,199,52136562589626,6520199,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510200,200,59957046978070,6520200,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
